year,Base case diesel consumed,Modeled solar power (pv)
2016,43542.679805,43153.1735292
2017,43542.679805,43156.2895794
2018,43630.8180643,43247.5189604
2019,43718.9563235,43338.7236125
2020,43718.9563235,43341.7654742
2021,43807.0945828,43432.9212603
2022,43895.232842,43524.0529061
2023,43983.3711013,43615.1606048
2024,44071.5093605,43706.2445481
2025,44159.6476198,43797.3049258
2026,44247.7858791,43888.3419266
2027,44247.7858791,43891.2174783
2028,44335.9241383,43982.2082847
2029,44424.0623976,44073.1762708
2030,44512.2006568,44164.1216191
2031,44600.3389161,44255.0445106
2032,44600.3389161,44257.8068659
2033,44688.4771753,44348.6853815
2034,44776.6154346,44439.5419751
2035,44864.7536938,44530.3768221
