year,Base case cost,"Central (circle hot springs, boulder creek)","Central(circle hot springs, crooked creek)","Central (circle hot springs, ketchem creek) -- ketchum creek","Central (circle hot springs, lower deadwood creek)","Central (circle hot springs, portage creek)","Central (circle hot springs, upper deadwood creek)"
2021,123097.935778,903106.520536,850379.427783,587090.2214,611853.607383,560331.711076,717668.210405
2022,127735.12757,905523.174851,852796.082098,589506.875715,614270.261698,562748.365391,720084.86472
2023,130630.612171,907086.336964,854359.244212,591070.037828,615833.423811,564311.527505,721648.026834
2024,133095.958269,908441.414323,855714.321571,592425.115187,617188.50117,565666.604864,723003.104193
2025,136453.311145,910244.390965,857517.298212,594228.091829,618991.477812,567469.581505,724806.080834
2026,140265.481237,912280.131074,859553.038321,596263.831938,621027.217921,569505.321614,726841.820943
2027,142920.348389,913602.67574,860875.582987,597586.376604,622349.762587,570827.86628,728164.365609
2028,145865.190415,915215.195279,862488.102526,599198.896143,623962.282126,572440.385819,729776.885148
2029,149264.849656,917060.478285,864333.385532,601044.179149,625807.565132,574285.668826,731622.168154
2030,151786.60424,918471.96413,865744.871377,602455.664994,627219.050977,575697.15467,733033.653999
2031,155655.182817,920564.112725,867837.019972,604547.813589,629311.199572,577789.303265,735125.802594
2032,159223.20993,922355.709856,869628.617103,606339.41072,631102.796703,579580.900396,736917.399725
2033,163112.94169,924469.011633,871741.91888,608452.712497,633216.09848,581694.202173,739030.701502
2034,167464.541725,926822.127938,874095.035186,610805.828802,635569.214785,584047.318479,741383.817807
2035,170037.4165,928284.733974,875557.641221,612268.434837,637031.820821,585509.924514,742846.423843
2036,174075.244332,930324.078076,877596.985323,614307.77894,639071.164923,587549.268616,744885.767945
2037,177114.394295,932030.905552,879303.812799,616014.606416,640777.992399,589256.096092,746592.595421
2038,181515.351756,934433.379283,881706.28653,618417.080146,643180.46613,591658.569823,748995.069152
2039,184217.813569,935803.518608,883076.425856,619787.219472,644550.605455,593028.709149,750365.208478
2040,189091.215896,938456.383458,885729.290705,622440.084322,647203.470305,595681.573998,753018.073327
2041,189460.515202,938825.682764,886098.590011,622809.383628,647572.769611,596050.873305,753387.372633
2042,189460.515202,938825.682764,886098.590011,622809.383628,647572.769611,596050.873305,753387.372633
2043,189829.814509,939194.982071,886467.889318,623178.682934,647942.068918,596420.172611,753756.67194
2044,189829.814509,939194.982071,886467.889318,623178.682934,647942.068918,596420.172611,753756.67194
2045,190199.113815,939564.281377,886837.188624,623547.982241,648311.368224,596789.471917,754125.971246
2046,190199.113815,939564.281377,886837.188624,623547.982241,648311.368224,596789.471917,754125.971246
2047,190568.413121,939933.580683,887206.48793,623917.281547,648680.66753,597158.771223,754495.270552
2048,190568.413121,939933.580683,887206.48793,623917.281547,648680.66753,597158.771223,754495.270552
2049,190937.712427,940302.879989,887575.787237,624286.580853,649049.966836,597528.07053,754864.569858
2050,190937.712427,940302.879989,887575.787237,624286.580853,649049.966836,597528.07053,754864.569858
