year,Base case diesel consumed,"Central (circle hot springs, boulder creek)","Central(circle hot springs, crooked creek)","Central (circle hot springs, ketchem creek) -- ketchum creek","Central (circle hot springs, lower deadwood creek)","Central (circle hot springs, portage creek)","Central (circle hot springs, upper deadwood creek)"
2021,43807.0945828,18938.1230374,18938.1230374,18938.1230374,18938.1230374,18938.1230374,18938.1230374
2022,43895.232842,19026.2612966,19026.2612966,19026.2612966,19026.2612966,19026.2612966,19026.2612966
2023,43983.3711013,19114.3995559,19114.3995559,19114.3995559,19114.3995559,19114.3995559,19114.3995559
2024,44071.5093605,19202.5378151,19202.5378151,19202.5378151,19202.5378151,19202.5378151,19202.5378151
2025,44159.6476198,19290.6760744,19290.6760744,19290.6760744,19290.6760744,19290.6760744,19290.6760744
2026,44247.7858791,19378.8143337,19378.8143337,19378.8143337,19378.8143337,19378.8143337,19378.8143337
2027,44247.7858791,19378.8143337,19378.8143337,19378.8143337,19378.8143337,19378.8143337,19378.8143337
2028,44335.9241383,19466.9525929,19466.9525929,19466.9525929,19466.9525929,19466.9525929,19466.9525929
2029,44424.0623976,19555.0908522,19555.0908522,19555.0908522,19555.0908522,19555.0908522,19555.0908522
2030,44512.2006568,19643.2291114,19643.2291114,19643.2291114,19643.2291114,19643.2291114,19643.2291114
2031,44600.3389161,19731.3673707,19731.3673707,19731.3673707,19731.3673707,19731.3673707,19731.3673707
2032,44600.3389161,19731.3673707,19731.3673707,19731.3673707,19731.3673707,19731.3673707,19731.3673707
2033,44688.4771753,19819.5056299,19819.5056299,19819.5056299,19819.5056299,19819.5056299,19819.5056299
2034,44776.6154346,19907.6438892,19907.6438892,19907.6438892,19907.6438892,19907.6438892,19907.6438892
2035,44864.7536938,19995.7821484,19995.7821484,19995.7821484,19995.7821484,19995.7821484,19995.7821484
2036,44864.7536938,19995.7821484,19995.7821484,19995.7821484,19995.7821484,19995.7821484,19995.7821484
2037,44952.8919531,20083.9204077,20083.9204077,20083.9204077,20083.9204077,20083.9204077,20083.9204077
2038,45041.0302123,20172.058667,20172.058667,20172.058667,20172.058667,20172.058667,20172.058667
2039,45041.0302123,20172.058667,20172.058667,20172.058667,20172.058667,20172.058667,20172.058667
2040,45129.1684716,20260.1969262,20260.1969262,20260.1969262,20260.1969262,20260.1969262,20260.1969262
2041,45217.3067309,20348.3351855,20348.3351855,20348.3351855,20348.3351855,20348.3351855,20348.3351855
2042,45217.3067309,20348.3351855,20348.3351855,20348.3351855,20348.3351855,20348.3351855,20348.3351855
2043,45305.4449901,20436.4734447,20436.4734447,20436.4734447,20436.4734447,20436.4734447,20436.4734447
2044,45305.4449901,20436.4734447,20436.4734447,20436.4734447,20436.4734447,20436.4734447,20436.4734447
2045,45393.5832494,20524.611704,20524.611704,20524.611704,20524.611704,20524.611704,20524.611704
2046,45393.5832494,20524.611704,20524.611704,20524.611704,20524.611704,20524.611704,20524.611704
2047,45481.7215086,20612.7499632,20612.7499632,20612.7499632,20612.7499632,20612.7499632,20612.7499632
2048,45481.7215086,20612.7499632,20612.7499632,20612.7499632,20612.7499632,20612.7499632,20612.7499632
2049,45569.8597679,20700.8882225,20700.8882225,20700.8882225,20700.8882225,20700.8882225,20700.8882225
2050,45569.8597679,20700.8882225,20700.8882225,20700.8882225,20700.8882225,20700.8882225,20700.8882225
