year,Base case diesel consumed,Modeled residential ashp
2017,194401.569772,14238.258381
2018,203126.786598,22963.4752067
2019,211852.003424,31688.6920324
2020,220577.220249,40413.908858
2021,232210.842684,52047.5312923
2022,240936.059509,60772.748118
2023,249661.276335,69497.9649436
2024,258386.493161,78223.1817693
2025,267111.709986,86948.398595
2026,278745.332421,98582.0210292
2027,287470.549246,107307.237855
2028,296195.766072,116032.454681
2029,307829.388506,127666.077115
2030,316554.605332,136391.293941
2031,325279.822158,145116.510766
