year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,238561.83,4644.43,87428.23,180163.31
2018,239731.61,4557.84,87428.23,188249.48
2019,240974.5,4469.38,87428.23,196335.65
2020,242217.39,4380.73,87428.23,204421.82
2021,243460.28,4293.04,87428.23,215203.38
2022,244703.17,4205.25,87428.23,223289.55
2023,245872.95,4117.79,87428.23,231375.72
2024,247115.84,4029.1,87428.23,239461.88
2025,248358.73,3940.19,87428.23,247548.05
2026,249601.62,3850.77,87428.23,258329.61
2027,250844.51,3762.58,87428.23,266415.78
2028,252087.4,3675.03,87428.23,274501.95
2029,253476.51,3578.02,87428.23,285283.51
2030,254792.51,3483.3,87428.23,293369.68
2031,256035.4,3391.84,87428.23,301455.85
2032,257205.18,,,309542.02
2033,258301.85,,,317628.18
2034,259398.52,,,325714.35
2035,260568.3,,,333800.52
2036,261664.96,,,341886.69
