year,Base case cost,Modeled water and wastewater efficiency
2017,59628.6261905,59499.4159905
2018,62544.5798609,61513.4220845
2019,66474.8156343,64227.9646688
2020,68375.169635,65540.4756599
2021,69636.4699201,66411.5161187
2022,70646.6832803,67109.1805145
2023,71282.001402,67548.0052358
2024,71791.7413935,67900.1153583
2025,72419.7296686,68333.7543978
2026,73286.1382455,68931.8182341
2027,73884.1498543,69344.2699725
2028,74343.114207,69660.493236
2029,75058.8542137,70154.1343264
2030,75506.9377627,70462.6902952
2031,76193.5135919,70935.7540058
