year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,151459.0,109666.868643
2018,151459.0,109666.868643
2019,151459.0,109666.868643
2020,151459.0,109666.868643
2021,151459.0,109666.868643
2022,151459.0,109666.868643
2023,151459.0,109666.868643
2024,151459.0,109666.868643
2025,151459.0,109666.868643
2026,151459.0,109666.868643
2027,151459.0,109666.868643
2028,151459.0,109666.868643
2029,151459.0,109666.868643
2030,151459.0,109666.868643
2031,151459.0,109666.868643
2032,,
2033,,
2034,,
2035,,
2036,,
