year,Base case cost,Modeled biomass for heat (pellet)
2017,354614.473275,441547.325798
2018,395508.403275,471157.380331
2019,451548.233275,511734.121729
2020,478810.853275,531474.158085
2021,496985.933275,544634.182322
2022,512131.833275,555600.869186
2023,521219.373275,562180.881305
2024,530306.913275,568760.893423
2025,539394.453275,575340.905542
2026,551511.173275,584114.255033
2027,562113.303275,591790.935838
2028,569686.253275,597274.27927
2029,581802.973275,606047.628762
2030,587861.333275,610434.303507
2031,601492.643275,620304.321685
2032,,
2033,,
2034,,
2035,,
2036,,
