year,Base case cost,Modeled water and wastewater efficiency
2017,318744.000561,257941.143581
2018,338029.013712,272110.3234
2019,363367.035005,290815.248178
2020,378814.304366,302121.966132
2021,391261.567765,311189.936746
2022,402900.054541,319659.782538
2023,413121.446696,327076.905755
2024,423023.310499,334262.441158
2025,433745.476669,342068.342315
2026,445306.87716,350508.27802
2027,456471.549357,358657.776765
2028,467247.384618,366523.083344
2029,479670.071966,375626.684564
2030,490399.12537,383470.771208
2031,503367.506364,392994.436894
