year,Base case diesel consumed,Modeled residential ashp
2017,24882.7154946,-116449.536595
2018,25494.3822269,-115837.869862
2019,26258.9656423,-115073.286447
2020,27023.5490577,-114308.703032
2021,27635.21579,-113697.036299
2022,28399.7992054,-112932.452884
2023,29164.3826208,-112167.869468
2024,29928.9660362,-111403.286053
2025,30693.5494516,-110638.702638
2026,31458.132867,-109874.119222
2027,32222.7162824,-109109.535807
2028,33140.2163809,-108192.035708
2029,33904.7997963,-107427.452293
2030,34822.2998948,-106509.952194
2031,35586.8833102,-105745.368779
