year,Base case cost,Modeled residential energy efficiency
2017,1378205.80776,1219967.13504
2018,1467933.79515,1284357.38876
2019,1591966.51516,1375781.53544
2020,1674649.48477,1440079.35978
2021,1735919.70431,1487547.75446
2022,1802057.82515,1541499.00821
2023,1861556.79074,1591164.25894
2024,1919154.41567,1639795.69807
2025,1980087.25221,1691144.32666
2026,2044542.32703,1745394.28228
2027,2107033.71896,1798539.41496
2028,2176606.06394,1859621.60507
2029,2243579.76426,1916734.67518
2030,2311687.16408,1977314.82358
2031,2380306.69888,2036290.14111
