year,Base case cost,Modeled wind power
2019,215892.112071,
2020,227910.642899,
2021,240377.489941,
2022,248246.921977,
2023,253527.135755,
2024,258402.795119,
2025,264364.529288,
2026,270850.421008,
2027,277095.746747,
2028,281424.297139,
2029,288640.152051,
2030,292646.09587,
2031,300292.422105,
2032,306885.424649,
2033,313855.336449,
2034,321168.718804,
2035,326290.515161,
2036,333606.897253,
2037,337995.930708,
2038,345649.492591,
