year,Base case cost,Modeled solar power
2020,227910.642899,234725.478501
2021,240377.489941,246901.642207
2022,248246.921977,254511.185037
2023,253527.135755,259561.586519
2024,258402.795119,264228.772295
2025,264364.529288,269970.995731
2026,270850.421008,276234.518208
2027,277095.746747,282270.380108
2028,281424.297139,286409.854332
2029,288640.152051,293417.957849
2030,292646.09587,297251.517608
2031,300292.422105,304691.64487
2032,306885.424649,311090.650495
2033,313855.336449,317863.54201
2034,321168.718804,324984.378088
2035,326290.515161,329940.069263
2036,333606.897253,337072.395215
2037,337995.930708,341310.517293
2038,345649.492591,348780.920439
2039,351495.617157,354469.390114
