year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,89427.0,76278.1372098
2018,89427.0,76278.1372098
2019,89427.0,76278.1372098
2020,89427.0,76278.1372098
2021,89427.0,76278.1372098
2022,89426.0,76277.1372098
2023,88448.0,75299.1372098
2024,88447.0,75298.1372098
2025,88447.0,75298.1372098
2026,88446.0,75297.1372098
2027,88445.0,75296.1372098
2028,88445.0,75296.1372098
2029,88443.0,75294.1372098
2030,87464.0,74315.1372098
2031,87464.0,74315.1372098
2032,87464.0,74315.1372098
2033,87464.0,74315.1372098
2034,87464.0,74315.1372098
2035,88442.0,75293.1372098
2036,88442.0,75293.1372098
