year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,5611.80265935,3647.67172858
2018,5612.39507765,3648.05680048
2019,5612.19849562,3647.92902215
2020,5611.80570943,3647.67371113
2021,5611.65463575,3647.57551323
2022,5611.24063392,3647.30641205
2023,5610.85038498,3647.05275023
2024,5610.26503855,3646.67227506
2025,5609.63879939,3646.2652196
2026,5608.88847844,3645.77751099
2027,5608.28464256,3645.38501766
2028,5607.74288806,3645.03287724
2029,5605.92090755,3643.84858991
2030,5604.49433144,3642.92131544
2031,5603.65960681,3642.37874443
