year,Base case diesel consumed,Modeled transmission and interties
2021,72841.6636184,-81491.669715
2022,72799.6838642,-81616.9828024
2023,72643.8784399,-81772.7882267
2024,72789.519752,-81627.1469147
2025,72827.6940187,-81672.3059813
2026,72809.2529591,-81690.7470409
2027,72919.9333544,-81663.399979
2028,72907.8489996,-81675.4843337
2029,73073.4562155,-81676.5437845
2030,73161.5239676,-81671.8093657
2031,73242.054172,-81674.6124947
2032,73242.344785,-81674.3218816
2033,73159.752086,-81673.5812473
2034,73159.1614588,-81674.1718746
2035,73159.3083322,-81674.0250012
2036,73159.4072923,-81673.926041
2037,73159.2923611,-81674.0409723
2038,73076.0026618,-81673.9973382
2039,73076.0118829,-81673.9881171
2040,72992.6578575,-81674.0088092
