year,Base case cost,Modeled biomass for heat (pellet)
2017,237099.881416,259678.969249
2018,264822.251416,282989.357813
2019,303275.861416,315460.993951
2020,322055.531416,331159.126532
2021,334575.311416,341525.295982
2022,344408.430093,349606.600535
2023,347717.675986,351565.656919
2024,353020.564662,355788.32429
2025,360096.324662,361527.712828
2026,368052.393339,368022.588505
2027,375123.832016,373770.833635
2028,380430.532016,378023.675578
2029,388381.79937,384532.828199
2030,388455.893939,383696.826231
2031,397202.293939,390881.608117
2032,405074.053939,397329.021407
2033,413820.453939,404525.233314
2034,422566.853939,411726.960108
2035,433482.828046,421498.112523
2036,442327.028046,428808.284352
