year,Base case cost,Modeled biomass for heat (cordwood)
2017,237099.881416,267097.329876
2018,264822.251416,290414.622251
2019,303275.861416,323045.127507
2020,322055.531416,338647.475351
2021,334575.311416,348842.313809
2022,344408.430093,356724.36465
2023,347717.675986,358456.05856
2024,353020.564662,362435.026524
2025,360096.324662,367962.015349
2026,368052.393339,374263.664225
2027,375123.832016,379813.779239
2028,380430.532016,383851.469002
2029,388381.79937,390188.053567
2030,388455.893939,389138.235507
2031,397202.293939,396175.380974
2032,405074.053939,402469.466167
2033,413820.453939,409530.418561
2034,422566.853939,416602.85759
2035,433482.828046,426214.69349
2036,442327.028046,433407.104444
