year,Base case diesel consumed,Modeled solar power
2020,72123.6211706,71294.0760277
2021,72841.6636184,72018.7548367
2022,72799.6838642,71983.3583528
2023,72643.8784399,71834.0835326
2024,72789.519752,71986.2032039
2025,72827.6940187,72030.804003
2026,72809.2529591,72018.7380635
2027,72919.9333544,72135.742578
2028,72907.8489996,72129.9317494
2029,73073.4562155,72301.7623033
2030,73161.5239676,72396.0036067
2031,73242.054172,72482.657974
2032,73242.344785,72489.0237566
2033,73159.752086,72412.4576258
2034,73159.1614588,72417.8453543
2035,73159.3083322,72423.9227565
2036,73159.4072923,72429.9048012
2037,73159.2923611,72435.6258899
2038,73076.0026618,72358.1255225
2039,73076.0118829,72363.8777606
