year,Base case cost,Modeled non-residential energy efficiency
2017,541081.343067,567226.636866
2018,567871.376615,591813.760727
2019,603934.883314,624911.812079
2020,621451.44371,640988.00845
2021,633816.074578,652335.911771
2022,642059.161824,659901.180651
2023,648241.477258,665575.132311
2024,653393.406786,670303.425362
2025,659575.72222,675977.377022
2026,666788.42356,682596.987292
2027,672970.738994,688270.938953
2028,678122.668522,692999.232003
2029,685335.369862,699618.842273
2030,689456.913485,703401.476714
2031,696669.614825,710021.086984
