year,Base case diesel consumed,Modeled transmission and interties
2021,74798.2504604,0.0
2022,74798.2504604,0.0
2023,74798.2504604,0.0
2024,74798.2504604,0.0
2025,74798.2504604,0.0
2026,74798.2504604,0.0
2027,74798.2504604,0.0
2028,74798.2504604,0.0
2029,74798.2504604,0.0
2030,74798.2504604,0.0
2031,74798.2504604,0.0
2032,74798.2504604,0.0
2033,74798.2504604,0.0
2034,74798.2504604,0.0
2035,74798.2504604,0.0
2036,74798.2504604,0.0
2037,74723.22714,0.0
2038,74723.22714,0.0
2039,74723.22714,0.0
2040,74723.22714,0.0
