year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,70451.1691735,52133.8651884
2018,70451.1691735,52133.8651884
2019,70451.1691735,52133.8651884
2020,70451.1691735,52133.8651884
2021,70451.1691735,52133.8651884
2022,70451.1691735,52133.8651884
2023,70451.1691735,52133.8651884
2024,70451.1691735,52133.8651884
2025,70451.1691735,52133.8651884
2026,70451.1691735,52133.8651884
2027,70451.1691735,52133.8651884
2028,70451.1691735,52133.8651884
2029,70451.1691735,52133.8651884
2030,70451.1691735,52133.8651884
2031,70451.1691735,52133.8651884
