year,Base case cost,Modeled residential energy efficiency
2017,497092.33112,486956.453694
2018,520004.607845,505481.697086
2019,559624.394451,539195.861899
2020,574847.76345,551550.786026
2021,585593.670978,560271.908939
2022,602061.229116,575389.610667
2023,607519.68817,579835.677413
2024,612068.404047,583540.733034
2025,617526.863101,587986.79978
2026,633540.706272,602819.518593
2027,639084.670615,607351.090628
2028,643704.6409,611127.400657
2029,660074.75611,626316.391508
2030,663827.735864,629394.443057
2031,670395.450435,634781.033269
2032,676963.165005,640167.62348
2033,694741.804244,656596.406309
2034,702361.770805,662866.51646
2035,716615.444394,676445.261844
2036,724349.418007,682829.379047
