year,Base case cost,Modeled residential energy efficiency
2017,100678.46193,100764.398185
2018,109337.216513,108512.605884
2019,121243.004065,119272.097358
2020,117871.744607,115244.548439
2021,121316.694423,118168.187892
2022,123951.067812,120351.566456
2023,125774.864774,121794.548417
2024,127193.373522,122870.02713
2025,129017.170483,124323.925019
2026,131246.255658,126156.115685
2027,133070.05262,127620.42383
2028,134488.561367,128716.728896
2029,136515.002436,130377.477994
2030,137730.867077,131296.965403
2031,139959.952252,133153.695529
