year,Base case diesel consumed,Dillingham (elva lake),"Dillingham (aleknagik, grant lake)",Nushagak area hydropower project (nahp) -- grant lake
2021,1271802.4235,543883.95867,606541.688001,487658.958479
2022,1270394.44991,542475.985087,605133.714418,486250.984896
2023,1268852.38361,540933.918782,603591.648113,484708.918591
2024,1266572.80733,538654.342505,601312.071836,482429.342314
2025,1264427.32378,536508.85895,599166.588281,480283.85876
2026,1261946.60842,534028.14359,596685.872921,477803.143399
2027,1258929.52217,531011.057341,593668.786672,474786.05715
2028,1255577.20411,527658.739286,590316.468617,471433.739096
2029,1253565.81328,525647.348454,588305.077784,469422.348263
2030,1250883.95884,522965.49401,585623.223341,466740.49382
2031,1252291.93242,524373.467593,587031.196924,468148.467402
2032,1248403.24348,520484.77865,583142.507981,464259.778459
2033,1245185.01814,517266.553317,579924.282648,461041.553127
2034,1242302.02462,514383.559791,577041.289122,458158.5596
2035,1239955.40198,512036.937152,574694.666483,455811.936962
2036,1238078.10387,510159.639042,572817.368373,453934.638852
2037,1235999.66667,508081.201848,570738.931179,451856.201658
2038,1233317.81223,505399.347405,568057.076736,449174.347214
2039,1229026.84512,501108.380295,563766.109626,444883.380105
2040,1228959.79876,501041.333934,563699.063265,444816.333744
2041,1229362.07693,501443.6121,564101.341431,445218.61191
2042,1228021.1497,500102.684879,562760.41421,443877.684688
2043,1229496.16965,501577.704823,564235.434154,445352.704632
2044,1231976.88501,504058.420183,566716.149514,447833.419993
2045,1234926.9249,507008.460071,569666.189402,450783.45988
2046,1240692.91195,512774.447124,575432.176455,456549.446934
2047,1243777.04456,515858.579735,578516.309065,459633.579544
2048,1247665.7335,519747.268678,582404.998009,463522.268487
2049,1254236.27689,526317.812064,588975.541395,470092.811874
2050,1259734.0785,531815.613674,594473.343005,475590.613483
