year,Base case diesel consumed,Modeled solar power (pv)
2016,1282663.93399,1263518.4177
2017,1279110.47685,1260118.1247
2018,1275221.78791,1256381.37457
2019,1274819.50974,1256129.81971
2020,1273143.35072,1254603.1782
2021,1271802.4235,1253410.57236
2022,1270394.44991,1252149.73359
2023,1268852.38361,1250753.62501
2024,1266572.80733,1248618.8388
2025,1264427.32378,1246616.987
2026,1261946.60842,1244278.75433
2027,1258929.52217,1241403.01092
2028,1255577.20411,1238190.90495
2029,1253565.81328,1236318.60451
2030,1250883.95884,1233774.72774
2031,1252291.93242,1235319.57517
2032,1248403.24348,1231566.66509
2033,1245185.01814,1228483.13238
2034,1242302.02462,1225733.75394
2035,1239955.40198,1223519.67747
