year,Base case diesel consumed,Modeled residential ashp
2017,5365.20985901,-16477.535525
2018,5365.20985901,-16477.535525
2019,5628.7027627,-16214.0426213
2020,5628.7027627,-16214.0426213
2021,5628.7027627,-16214.0426213
2022,5628.7027627,-16214.0426213
2023,5628.7027627,-16214.0426213
2024,5628.7027627,-16214.0426213
2025,5628.7027627,-16214.0426213
2026,5628.7027627,-16214.0426213
2027,5628.7027627,-16214.0426213
2028,5628.7027627,-16214.0426213
2029,5892.1956664,-15950.5497176
2030,5892.1956664,-15950.5497176
2031,5892.1956664,-15950.5497176
