year,population
2003,1688.0
2004,1615.0
2005,1608.0
2006,1442.0
2007,1596.0
2008,1521.0
2009,1540.0
2010,1596.0
2011,1595.0
2012,1592.0
2013,1583.0
2014,1577.0
2015,1570.0
2016,1564.0
2017,1557.0
2018,1551.0
2019,1547.0
2020,1541.0
2021,1535.0
2022,1529.0
2023,1523.0
2024,1518.0
2025,1512.0
2026,1507.0
2027,1502.0
2028,1496.0
2029,1497.0
2030,1496.0
2031,1494.0
2032,1488.0
2033,1480.0
2034,1473.0
2035,1467.0
2036,1463.0
2037,1462.0
2038,1459.0
2039,1455.0
2040,1450.0
