year,Base case diesel consumed,Tok wind construction_vwp,Chisana mountain wind feasibility project,Modeled wind power
2019,683407.89397,501892.28367,501892.28367,501892.28367
2020,683337.039549,501821.429249,501821.429249,501821.429249
2021,683195.330707,501679.720407,501679.720407,501679.720407
2022,683053.621866,501538.011566,501538.011566,501538.011566
2023,682911.913024,501396.302724,501396.302724,501396.302724
2024,682841.058603,501325.448303,501325.448303,501325.448303
2025,682699.349761,501183.739461,501183.739461,501183.739461
2026,682628.495341,501112.885041,501112.885041,501112.885041
2027,682486.786499,500971.176199,500971.176199,500971.176199
2028,682415.932078,500900.321778,500900.321778,500900.321778
2029,682415.932078,500900.321778,500900.321778,500900.321778
2030,682415.932078,500900.321778,500900.321778,500900.321778
2031,682345.077657,500829.467357,500829.467357,500829.467357
2032,682203.368816,500687.758516,500687.758516,500687.758516
2033,682061.659974,500546.049674,500546.049674,500546.049674
2034,681919.951132,500404.340832,500404.340832,500404.340832
2035,681778.242291,500262.631991,500262.631991,500262.631991
2036,681707.38787,500191.77757,500191.77757,500191.77757
2037,681707.38787,500191.77757,500191.77757,500191.77757
2038,681636.533449,500120.923149,500120.923149,500120.923149
