year,Base case cost,Yerrick creek,Yerrick creek hydropower project: construction,"Tetlin, last tetlin village (mice creek)",Dot lake (bear creek),Cathedral rapids,Tok (clearwater creek)
2020,1913343.71074,,2564967.29118,,,,
2021,2001762.31897,11720980.0401,2596217.90888,3478320.371,3171512.25692,9325698.70746,3769356.49836
2022,2069652.47425,11558430.3538,2614611.00681,3514098.7209,3202043.24645,9127900.64215,3793579.20661
2023,2117026.93037,11387262.1185,2620144.70931,3530603.19694,3215369.56055,8935985.54456,3799793.1952
2024,2150949.3346,11212076.3857,2617519.46271,3534703.89089,3217658.55856,8749617.49488,3794504.65542
2025,2198291.90623,11050238.7004,2624197.87675,3552549.19435,3232244.72986,8566390.57055,3802419.59774
2026,2252674.03462,10897608.9504,2636134.63059,3577919.48843,3253613.10878,8387116.86907,3817673.76077
2027,2299980.4705,10744663.842,2643898.99838,3597037.77613,3269395.0451,8212169.90347,3827205.13051
2028,2333862.48771,10587300.1709,2643478.17475,3603717.05955,3274108.15072,8042398.33439,3825182.2598
2029,2388455.76227,10447808.0709,2657250.57453,3631193.77243,3297471.15466,7875375.36773,3843040.05996
2030,2422576.55888,10298998.6899,2658113.55755,3639331.04812,3303570.33656,7713587.54377,3842795.03788
2031,2476912.6319,10167370.0058,2672649.29036,3667741.19722,3327796.54625,7553870.81986,3861898.63403
2032,2537796.53199,10043858.3622,2691876.33468,3703096.75822,3358230.56667,7397057.53413,3887738.82528
2033,2591834.3079,9919675.80402,2707087.02781,3732344.09071,3383226.98276,7244255.57469,3907977.49428
2034,2652668.6099,9803677.47632,2727214.92076,3768758.92141,3414654.86565,7094436.69707,3935167.86293
2035,2693024.05705,9677896.07651,2734369.28461,3785760.57911,3428749.1639,6949418.69243,3944164.00214
2036,2754097.84699,9569349.79372,2755643.08218,3823472.3965,3461411.6563,6806556.99065,3972928.78868
2037,2795000.29027,9451158.90305,2764229.61451,3842053.76401,3477024.74913,6668646.22456,3983775.56663
2038,2856057.07515,9349474.04448,2786350.83333,3880757.08559,3510619.2582,6532174.00315,4013796.43633
2039,2903469.79266,9242161.73105,2799942.89184,3906656.7122,3532788.80127,6399736.16037,4031860.32362
2040,2977822.74972,9155634.99882,2831486.83503,3959264.22028,3578823.33395,6268082.44211,4075318.64664
2041,2977203.48208,9023139.1381,2814294.36895,3939309.32269,3560008.95985,6144634.91834,4050291.11215
2042,2976893.84826,8894043.76875,2797799.9711,3920117.23774,3541930.66737,6024375.81556,4026145.28021
2043,2976584.21444,8767966.81561,2781684.90359,3901367.71031,3524268.82791,5906928.02896,4002558.10927
2044,2976274.58062,8644837.53355,2765940.27599,3883050.36782,3507013.68069,5792225.66737,3979516.50551
2045,2975964.9468,8524586.83746,2750557.40604,3865155.08107,3490155.69401,5680204.38577,3957007.68239
2046,2975345.67916,8406837.62604,2735218.18128,3847362.32422,3473375.92552,5570491.71195,3934709.51892
2047,2975036.04534,8292143.28178,2720533.58934,3830281.70488,3457284.55261,5463645.54892,3913229.08844
2048,2974726.41152,8180129.82917,2706185.91034,3813594.15551,3441563.06422,5359296.3358,3892244.8485
2049,2974107.14389,8070424.79997,2691857.6143,3796980.82958,3425893.15721,5257075.91554,3871435.53564
2050,2973797.51007,7963586.10286,2678160.25745,3781051.99831,3410885.63348,5157546.4068,3851409.06092
2051,2973797.51007,7859553.81464,2665086.30918,3765798.87582,3396532.22539,5060651.99784,3832154.3335
2052,2973797.51007,7757959.78311,2652318.78161,3750903.24838,3382515.22528,4966028.55152,3813350.88875
2053,2973797.51007,7658746.86207,2639850.49286,3736356.73726,3368826.74867,4873622.84258,3794988.1498
2054,2973797.51007,7561859.24303,2627674.42968,3722151.15987,3355459.09562,4783382.89167,3777055.78739
2055,2973797.51007,7467242.42789,2615783.74298,3708278.52576,3342404.74697,4695257.9399,3759543.71479
2056,2973797.51007,7374843.19443,2604171.74427,3694731.03151,3329656.35964,4609198.41677,3742442.0814
2057,2973797.51007,7284609.56812,2592831.90173,3681501.05668,3317206.76265,4525155.91382,3725741.26757
2058,2973797.51007,7196490.79207,2581757.83684,3668581.15933,3305048.95304,4443083.1567,3709431.87899
2059,2973797.51007,7110437.30054,2570943.32028,3655964.07218,3293176.09219,4362933.98048,3693504.74184
2060,2973797.51007,7026400.68715,2560382.26895,3643642.69793,3281581.50144,4284663.30005,3677950.89686
2061,2973797.51007,6944333.68194,2550068.74227,3631610.10589,3270258.65891,4208227.08874,3662761.59513
2062,2973797.51007,6864190.1222,2539996.93884,3619859.52774,3259201.19551,4133582.35117,3647928.29267
2063,2973797.51007,6785924.9269,2530161.1934,3608384.35372,3248402.89138,4060687.09941,3633442.64569
2064,2973797.51007,6709494.07283,2520555.97316,3597178.1292,3237857.6726,3989500.33077,3619296.5062
2065,2973797.51007,6634854.56633,2511175.87524,3586234.55049,3227559.6073,3919982.0015,3605481.91674
2066,2973797.51007,6561964.42302,2502015.62345,3575547.46186,3217502.90288,3852093.00784,3591991.10668
2067,2973797.51007,6490782.64303,2493070.06498,3565110.85196,3207681.90255,3785795.16302,3578816.48758
2068,2973797.51007,6421269.18544,2484334.16806,3554918.85002,3198091.08183,3721051.17341,3565950.64852
2069,2973797.51007,6353384.9497,2475803.01875,3544965.72316,3188725.046,3657824.62122,3553386.35259
2070,2973797.51007,6287091.75093,,3535245.87273,3179578.52667,3596079.94153,3541116.53239
