year,Base case diesel consumed,Yerrick creek,Yerrick creek hydropower project: construction,"Tetlin, last tetlin village (mice creek)",Dot lake (bear creek),Cathedral rapids,Tok (clearwater creek)
2020,683337.039549,,423316.796792,,,,
2021,683195.330707,423175.087951,423175.087951,663614.214467,585714.272351,0.0,623815.197719
2022,683053.621866,423033.379109,423033.379109,663472.505625,585572.56351,0.0,623673.488877
2023,682911.913024,422891.670268,422891.670268,663330.796784,585430.854668,0.0,623531.780035
2024,682841.058603,422820.815847,422820.815847,663259.942363,585360.000247,0.0,623460.925614
2025,682699.349761,422679.107005,422679.107005,663118.233521,585218.291406,0.0,623319.216773
2026,682628.495341,422608.252584,422608.252584,663047.3791,585147.436985,0.0,623248.362352
2027,682486.786499,422466.543743,422466.543743,662905.670259,585005.728143,0.0,623106.65351
2028,682415.932078,422395.689322,422395.689322,662834.815838,584934.873722,0.0,623035.799089
2029,682415.932078,422395.689322,422395.689322,662834.815838,584934.873722,0.0,623035.799089
2030,682415.932078,422395.689322,422395.689322,662834.815838,584934.873722,0.0,623035.799089
2031,682345.077657,422324.834901,422324.834901,662763.961417,584864.019301,0.0,622964.944669
2032,682203.368816,422183.126059,422183.126059,662622.252575,584722.31046,0.0,622823.235827
2033,682061.659974,422041.417218,422041.417218,662480.543734,584580.601618,0.0,622681.526985
2034,681919.951132,421899.708376,421899.708376,662338.834892,584438.892776,0.0,622539.818144
2035,681778.242291,421757.999534,421757.999534,662197.12605,584297.183935,0.0,622398.109302
2036,681707.38787,421687.145113,421687.145113,662126.27163,584226.329514,0.0,622327.254881
2037,681707.38787,421687.145113,421687.145113,662126.27163,584226.329514,0.0,622327.254881
2038,681636.533449,421616.290693,421616.290693,662055.417209,584155.475093,0.0,622256.40046
2039,681565.679028,421545.436272,421545.436272,661984.562788,584084.620672,0.0,622185.54604
2040,681423.970187,421403.72743,421403.72743,661842.853946,583942.911831,0.0,622043.837198
2041,681282.261345,421262.018588,421262.018588,661701.145105,583801.202989,0.0,621902.128356
2042,681211.406924,421191.164168,421191.164168,661630.290684,583730.348568,0.0,621831.273935
2043,681140.552503,421120.309747,421120.309747,661559.436263,583659.494147,0.0,621760.419515
2044,681069.698082,421049.455326,421049.455326,661488.581842,583588.639727,0.0,621689.565094
2045,680998.843662,420978.600905,420978.600905,661417.727421,583517.785306,0.0,621618.710673
2046,680857.13482,420836.892063,420836.892063,661276.01858,583376.076464,0.0,621477.001831
2047,680786.280399,420766.037643,420766.037643,661205.164159,583305.222043,0.0,621406.14741
2048,680715.425978,420695.183222,420695.183222,661134.309738,583234.367622,0.0,621335.29299
2049,680573.717137,420553.47438,420553.47438,660992.600896,583092.658781,0.0,621193.584148
2050,680502.862716,420482.619959,420482.619959,660921.746475,583021.80436,0.0,621122.729727
2051,680502.862716,420482.619959,420482.619959,660921.746475,583021.80436,0.0,621122.729727
2052,680502.862716,420482.619959,420482.619959,660921.746475,583021.80436,0.0,621122.729727
2053,680502.862716,420482.619959,420482.619959,660921.746475,583021.80436,0.0,621122.729727
2054,680502.862716,420482.619959,420482.619959,660921.746475,583021.80436,0.0,621122.729727
2055,680502.862716,420482.619959,420482.619959,660921.746475,583021.80436,0.0,621122.729727
2056,680502.862716,420482.619959,420482.619959,660921.746475,583021.80436,0.0,621122.729727
2057,680502.862716,420482.619959,420482.619959,660921.746475,583021.80436,0.0,621122.729727
2058,680502.862716,420482.619959,420482.619959,660921.746475,583021.80436,0.0,621122.729727
2059,680502.862716,420482.619959,420482.619959,660921.746475,583021.80436,0.0,621122.729727
2060,680502.862716,420482.619959,420482.619959,660921.746475,583021.80436,0.0,621122.729727
2061,680502.862716,420482.619959,420482.619959,660921.746475,583021.80436,0.0,621122.729727
2062,680502.862716,420482.619959,420482.619959,660921.746475,583021.80436,0.0,621122.729727
2063,680502.862716,420482.619959,420482.619959,660921.746475,583021.80436,0.0,621122.729727
2064,680502.862716,420482.619959,420482.619959,660921.746475,583021.80436,0.0,621122.729727
2065,680502.862716,420482.619959,420482.619959,660921.746475,583021.80436,0.0,621122.729727
2066,680502.862716,420482.619959,420482.619959,660921.746475,583021.80436,0.0,621122.729727
2067,680502.862716,420482.619959,420482.619959,660921.746475,583021.80436,0.0,621122.729727
2068,680502.862716,420482.619959,420482.619959,660921.746475,583021.80436,0.0,621122.729727
2069,680502.862716,420482.619959,420482.619959,660921.746475,583021.80436,0.0,621122.729727
2070,680502.862716,420482.619959,,660921.746475,583021.80436,0.0,621122.729727
