year,Base case diesel consumed,Modeled solar power (pv)
2016,683762.166074,674496.276015
2017,683620.457232,674428.694294
2018,683549.602811,674431.373976
2019,683407.89397,674362.610965
2020,683337.039549,674364.118809
2021,683195.330707,674294.193333
2022,683053.621866,674223.69359
2023,682911.913024,674152.624175
2024,682841.058603,674151.844065
2025,682699.349761,674079.648939
2026,682628.495341,674077.752125
2027,682486.786499,674004.449229
2028,682415.932078,674001.453506
2029,682415.932078,674068.769335
2030,682415.932078,674135.546637
2031,682345.077657,674130.9353
2032,682203.368816,674054.939597
2033,682061.659974,673978.418189
2034,681919.951132,673901.375282
2035,681778.242291,673823.815047
