year,Base case cost,Modeled solar power (pv)
2016,1094019.46572,1179722.60056
2017,1339896.09618,1420289.68466
2018,1524315.61427,1600322.19096
2019,1790528.6822,1861149.77776
2020,1913343.71074,1980566.36276
2021,2001762.31897,2066102.37558
2022,2069652.47425,2131437.11484
2023,2117026.93037,2176575.70219
2024,2150949.3346,2208487.38959
2025,2198291.90623,2253694.31755
2026,2252674.03462,2305904.45876
2027,2299980.4705,2351173.19222
2028,2333862.48771,2383232.83756
2029,2388455.76227,2435796.6503
2030,2422576.55888,2468182.75981
2031,2476912.6319,2520579.11551
2032,2537796.53199,2579486.2259
2033,2591834.3079,2631672.8088
2034,2652668.6099,2690618.25696
2035,2693024.05705,2729366.38105
