year,Base case cost,Tok wind construction_vwp,Chisana mountain wind feasibility project,Modeled wind power
2019,1790528.6822,2336058.06089,2336058.06089,2336058.06089
2020,1913343.71074,2412025.03989,2412025.03989,2412025.03989
2021,2001762.31897,2461785.017,2461785.017,2461785.017
2022,2069652.47425,2496097.58397,2496097.58397,2496097.58397
2023,2117026.93037,2514965.32024,2514965.32024,2514965.32024
2024,2150949.3346,2523892.95855,2523892.95855,2523892.95855
2025,2198291.90623,2543547.10117,2543547.10117,2543547.10117
2026,2252674.03462,2569086.64033,2569086.64033,2569086.64033
2027,2299980.4705,2589485.03018,2589485.03018,2589485.03018
2028,2333862.48771,2599933.48634,2599933.48634,2599933.48634
2029,2388455.76227,2626813.96759,2626813.96759,2626813.96759
2030,2422576.55888,2638227.99157,2638227.99157,2638227.99157
2031,2476912.6319,2665561.02538,2665561.02538,2665561.02538
2032,2537796.53199,2698235.35812,2698235.35812,2698235.35812
2033,2591834.3079,2725946.96916,2725946.96916,2725946.96916
2034,2652668.6099,2759232.71392,2759232.71392,2759232.71392
2035,2693024.05705,2777005.47094,2777005.47094,2777005.47094
2036,2754097.84699,2811161.0919,2811161.0919,2811161.0919
2037,2795000.29027,2830096.4587,2830096.4587,2830096.4587
2038,2856057.07515,2864836.25986,2864836.25986,2864836.25986
