year,Base case diesel consumed,Modeled non-residential energy efficiency
2017,87972.8715237,65099.9249276
2018,87972.8715237,65099.9249276
2019,87972.8715237,65099.9249276
2020,87972.8715237,65099.9249276
2021,87972.8715237,65099.9249276
2022,87972.8715237,65099.9249276
2023,87972.8715237,65099.9249276
2024,87972.8715237,65099.9249276
2025,87972.8715237,65099.9249276
2026,87972.8715237,65099.9249276
2027,87972.8715237,65099.9249276
2028,87972.8715237,65099.9249276
2029,87972.8715237,65099.9249276
2030,87972.8715237,65099.9249276
2031,87972.8715237,65099.9249276
