year,Base case cost,Modeled non-residential energy efficiency
2017,943456.893108,937536.838304
2018,997011.217283,984353.674111
2019,1069309.55492,1048289.28942
2020,1102781.00753,1076904.77435
2021,1125541.5953,1095808.24979
2022,1142946.75066,1109876.62552
2023,1154996.4736,1119108.8976
2024,1164368.48033,1125943.05428
2025,1176418.20327,1135256.07602
2026,1189806.78431,1145827.54335
2027,1201856.50725,1155217.5741
2028,1211228.51398,1162205.79199
2029,1224617.09503,1172888.7487
2030,1232650.24365,1178729.20234
2031,1246038.8247,1189482.19828
