year,Utility Diesel (gallons),Water/Wastewater Heating Oil (gallons),Non-residential Heating Oil (gallons),Residential Heating Oil (gallons)
2017,92397.02,9708.37,72806.16,85692.73
2018,92324.53,9705.86,72806.16,84214.95
2019,92252.05,9703.77,72806.16,84214.95
2020,92179.56,9701.97,72806.16,82737.16
2021,92179.56,9701.35,72806.16,82737.16
2022,92179.56,9701.23,72806.16,82737.16
2023,92179.56,9701.8,72806.16,82737.16
2024,92179.56,9702.1,72806.16,82737.16
2025,92179.56,9702.6,72806.16,82737.16
2026,92179.56,9701.43,72806.16,82737.16
2027,92107.07,9698.36,72806.16,82737.16
2028,92034.58,9697.6,72806.16,81259.37
2029,92034.58,9697.01,72806.16,81259.37
2030,92034.58,9696.5,72806.16,81259.37
2031,92034.58,9695.78,72806.16,81259.37
2032,91962.09,,,81259.37
2033,91962.09,,,81259.37
2034,91889.6,,,79781.59
2035,91817.12,,,79781.59
2036,91817.12,,,79781.59
