year,annotation,Maximum expected generation solar [kWh/year],Generation total [kWh/year],generation solar [kWh/year],generation diesel [kWh/year]
2003,,8861.92,1308917.0,0.0,1308917.0
2004,,8861.92,1425464.0,0.0,1425464.0
2005,,8861.92,1295166.0,0.0,1295166.0
2006,,8861.92,1315042.0,0.0,1315042.0
2007,,8861.92,1374285.0,0.0,1374285.0
2008,,8861.92,1259105.0,0.0,1259105.0
2009,,8861.92,1253915.0,0.0,1253915.0
2010,,8861.92,1285316.0,0.0,1285316.0
2011,,8861.92,1308841.0,0.0,1308841.0
2012,,8861.92,1350086.0,0.0,1350086.0
2013,,8861.92,1288629.0,0.0,1288629.0
2014,start of forecast,8861.92,1286000.0,8355.0,1277645.0
2015,,8861.92,1286000.0,8355.0,1277645.0
2016,,8861.92,1284000.0,8355.0,1275645.0
2017,,8861.92,1283000.0,8355.0,1274645.0
2018,,8861.92,1282000.0,8355.0,1273645.0
2019,,8861.92,1281000.0,8355.0,1272645.0
2020,,8861.92,1280000.0,8355.0,1271645.0
2021,,8861.92,1280000.0,8355.0,1271645.0
2022,,8861.92,1280000.0,8355.0,1271645.0
2023,,8861.92,1280000.0,8355.0,1271645.0
2024,,8861.92,1280000.0,8355.0,1271645.0
2025,,8861.92,1280000.0,8355.0,1271645.0
2026,,8861.92,1280000.0,8355.0,1271645.0
2027,,8861.92,1279000.0,8355.0,1270645.0
2028,,8861.92,1278000.0,8355.0,1269645.0
2029,,8861.92,1278000.0,8355.0,1269645.0
2030,,8861.92,1278000.0,8355.0,1269645.0
2031,,8861.92,1278000.0,8355.0,1269645.0
2032,,8861.92,1277000.0,8355.0,1268645.0
2033,,8861.92,1277000.0,8355.0,1268645.0
2034,,8861.92,1276000.0,8355.0,1267645.0
2035,,8861.92,1275000.0,8355.0,1266645.0
2036,,8861.92,1275000.0,8355.0,1266645.0
2037,,8861.92,1275000.0,8355.0,1266645.0
2038,,8861.92,1274000.0,8355.0,1265645.0
2039,,8861.92,1274000.0,8355.0,1265645.0
2040,,8861.92,1273000.0,8355.0,1264645.0
