year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,6638.24032058,4314.85620838
2018,6637.88532306,4314.62545999
2019,6637.77241593,4314.55207035
2020,6637.5801256,4314.42708164
2021,6637.1724129,4314.16206838
2022,6636.37798718,4313.64569167
2023,6635.14777717,4312.84605516
2024,6634.21245372,4312.23809492
2025,6633.55660444,4311.81179289
2026,6633.31616056,4311.65550436
2027,6632.86917463,4311.36496351
2028,6632.26228866,4310.97048763
2029,6633.55431013,4311.81030158
2030,6634.34495698,4312.32422203
2031,6634.60631958,4312.49410773
