year,Base case diesel consumed,Modeled transmission and interties
2021,41425.501608,0.0
2022,41425.501608,0.0
2023,41425.501608,0.0
2024,41425.501608,0.0
2025,41425.501608,0.0
2026,41337.9212664,0.0
2027,41337.9212664,0.0
2028,41337.9212664,0.0
2029,41425.501608,0.0
2030,41425.501608,0.0
2031,41425.501608,0.0
2032,41425.501608,0.0
2033,41337.9212664,0.0
2034,41337.9212664,0.0
2035,41337.9212664,0.0
2036,41337.9212664,0.0
2037,41337.9212664,0.0
2038,41337.9212664,0.0
2039,41337.9212664,0.0
2040,41337.9212664,0.0
