year,Base case cost,Modeled solar power
2020,163216.476336,165367.415036
2021,169430.301577,171390.261495
2022,173987.106754,175788.629172
2023,177301.146882,178968.94764
2024,180200.931995,181745.1332
2025,183514.972124,184931.560237
2026,186847.404124,188132.469317
2027,190154.437825,191317.85276
2028,193048.092314,194099.502478
2029,197185.387654,198114.022251
2030,199256.662735,200092.079402
2031,203399.212895,204110.655332
2032,207541.763056,208132.071008
2033,211236.777671,211708.733035
2034,215370.569798,215726.897842
2035,217850.845074,218119.872962
2036,222398.016413,222550.134105
2037,224878.291689,224947.725645
2038,229425.463028,229383.012842
2039,232732.49673,232599.3595
