year,Utility Diesel(gallons),Water/Wastewater Heating Oil(gallons),Non-residential Heating Oil(gallons),Residential Heating Oil(gallons)
2017,41425.5,6638.24,38906.67,15858.82
2018,41425.5,6637.89,38906.67,15858.82
2019,41425.5,6637.77,38906.67,15858.82
2020,41425.5,6637.58,38906.67,15858.82
2021,41425.5,6637.17,38906.67,15858.82
2022,41425.5,6636.38,38906.67,14757.72
2023,41425.5,6635.15,38906.67,14757.72
2024,41425.5,6634.21,38906.67,14757.72
2025,41425.5,6633.56,38906.67,14757.72
2026,41337.92,6633.32,38906.67,14757.72
2027,41337.92,6632.87,38906.67,14757.72
2028,41337.92,6632.26,38906.67,14757.72
2029,41425.5,6633.55,38906.67,14757.72
2030,41425.5,6634.34,38906.67,14757.72
2031,41425.5,6634.61,38906.67,14757.72
2032,41425.5,6633.5,38906.67,14757.72
2033,41337.92,6632.03,38906.67,14757.72
2034,41337.92,6630.68,38906.67,14757.72
2035,41337.92,6629.75,38906.67,13656.63
2036,41337.92,6629.44,38906.67,13656.63
2037,41337.92,6629.66,38906.67,13656.63
2038,41337.92,6629.75,38906.67,13656.63
2039,41337.92,6629.28,38906.67,13656.63
2040,41337.92,6628.46,38906.67,13656.63
