year,annotation,consumption kWh,residential kWh,non-residential kWh
2003,,340495.0,129555.0,210940.0
2004,,331123.0,126820.0,204303.0
2005,,322624.0,114190.0,208434.0
2006,,313981.0,113677.0,200304.0
2007,,344703.0,120166.0,224537.0
2008,,329684.0,134991.0,194693.0
2009,,379001.0,132037.0,246964.0
2010,,376685.0,145357.0,231328.0
2011,,370711.0,157790.0,212921.0
2012,,358281.0,148968.0,209313.0
2013,,333516.0,122101.0,211415.0
2014,start of forecast,341805.0,130588.0,211216.0
2015,,341707.0,130491.0,211216.0
2016,,341672.0,130456.0,211216.0
2017,,341620.0,130404.0,211216.0
2018,,341586.0,130370.0,211216.0
2019,,341576.0,130359.0,211216.0
2020,,341557.0,130341.0,211216.0
2021,,341518.0,130302.0,211216.0
2022,,341443.0,130226.0,211216.0
2023,,341325.0,130109.0,211216.0
2024,,341236.0,130019.0,211216.0
2025,,341173.0,129957.0,211216.0
2026,,341150.0,129934.0,211216.0
2027,,341108.0,129891.0,211216.0
2028,,341050.0,129833.0,211216.0
2029,,341173.0,129957.0,211216.0
2030,,341248.0,130032.0,211216.0
2031,,341273.0,130057.0,211216.0
2032,,341168.0,129951.0,211216.0
2033,,341028.0,129812.0,211216.0
2034,,340898.0,129682.0,211216.0
2035,,340810.0,129593.0,211216.0
2036,,340780.0,129564.0,211216.0
2037,,340801.0,129585.0,211216.0
2038,,340809.0,129593.0,211216.0
2039,,340765.0,129549.0,211216.0
2040,,340687.0,129471.0,211216.0
