year,Base case diesel consumed,Modeled biomass for heat (pellet)
2017,150280.0,134692.262226
2018,150976.0,135388.262226
2019,151668.0,136080.262226
2020,151672.0,136084.262226
2021,152367.0,136779.262226
2022,153060.0,137472.262226
2023,153066.0,137478.262226
2024,153760.0,138172.262226
2025,154454.0,138866.262226
2026,154458.0,138870.262226
2027,155153.0,139565.262226
2028,155847.0,140259.262226
2029,155846.0,140258.262226
2030,155848.0,140260.262226
2031,156541.0,140953.262226
2032,157239.0,141651.262226
2033,157938.0,142350.262226
2034,159326.0,143738.262226
2035,160024.0,144436.262226
2036,160722.0,145134.262226
