year,Base case diesel consumed,Modeled solar power
2020,141299.77809,139430.81028
2021,141441.432003,139587.415936
2022,141583.085916,139743.901977
2023,141724.739829,139900.269361
2024,141795.566785,139985.692082
2025,141937.220698,140141.824992
2026,142078.874611,140297.842071
2027,142220.528524,140453.744244
2028,142362.182436,140609.532431
2029,142362.182436,140623.553631
2030,142433.009393,140708.289618
2031,142503.836349,140792.914332
2032,142787.144175,141089.909534
2033,143070.452001,141386.795237
2034,143353.759827,141683.572317
2035,143566.240696,141909.414686
2036,143849.548522,142205.97712
2037,144062.029391,142431.606561
2038,144274.51026,142657.130813
2039,144557.818086,142953.377674
