year,Base case diesel consumed,Modeled water and wastewater efficiency
2017,5749.38926257,3737.10302067
2018,5756.2470956,3741.56061214
2019,5760.03594915,3744.02336695
2020,5764.28717402,3746.78666311
2021,5769.69230278,3750.29999681
2022,5774.4050892,3753.36330798
2023,5779.75704391,3756.84207854
2024,5784.57914755,3759.9764459
2025,5789.54943673,3763.20713388
2026,5794.16478238,3766.20710855
2027,5799.71215847,3769.81290301
2028,5805.69977252,3773.70485214
2029,5805.15534582,3773.35097478
2030,5806.56918174,3774.26996813
2031,5810.94834824,3777.11642635
