year,Base case cost,Modeled solar power
2020,394226.380871,410655.473712
2021,413008.981448,428786.804127
2022,426165.088606,441379.393968
2023,436512.198672,451212.190458
2024,445238.079705,459453.713556
2025,454199.106233,467941.688924
2026,466018.708723,479263.675148
2027,476438.770554,489215.168469
2028,485455.042108,497791.24839
2029,496844.016703,508715.590746
2030,502788.523157,514275.112799
2031,515863.887585,526889.27115
2032,528312.433448,538904.064016
2033,542237.013083,552388.039267
2034,556212.588127,565933.048681
2035,565650.988342,575000.412532
2036,579713.680542,588651.580874
2037,587773.079915,596374.086445
2038,603067.452888,611258.865817
2039,614370.726865,622209.958902
