year,Base case cost,Modeled wind power
2019,368422.704102,655532.371099
2020,394226.380871,670575.526818
2021,413008.981448,679804.38029
2022,426165.088606,684401.15733
2023,436512.198672,686762.579838
2024,445238.079705,687864.237221
2025,454199.106233,689350.411488
2026,466018.708723,693424.016829
2027,476438.770554,696449.040764
2028,485455.042108,698417.895055
2029,496844.016703,702478.289434
2030,502788.523157,702060.914844
2031,515863.887585,707861.418794
2032,528312.433448,713370.134306
2033,542237.013083,720269.933016
2034,556212.588127,727341.388356
2035,565650.988342,730619.025096
2036,579713.680542,738010.502282
2037,587773.079915,740345.091891
2038,603067.452888,748981.857421
