year,Base case diesel consumed,"Chatham (chatham creek; 57.31', 134.57')",Thayer lake hydropower development (tlhd) generation -- thayer creek
2020,141299.77809,,55483.4564806
2021,141441.432003,128903.419312,55625.1103934
2022,141583.085916,129045.073225,55766.7643063
2023,141724.739829,129186.727138,55908.4182192
2024,141795.566785,129257.554094,55979.2451756
2025,141937.220698,129399.208007,56120.8990885
2026,142078.874611,129540.86192,56262.5530014
2027,142220.528524,129682.515833,56404.2069142
2028,142362.182436,129824.169745,56545.8608271
2029,142362.182436,129824.169745,56545.8608271
2030,142433.009393,129894.996702,56616.6877836
2031,142503.836349,129965.823658,56687.51474
2032,142787.144175,130249.131484,56970.8225657
2033,143070.452001,130532.43931,57254.1303915
2034,143353.759827,130815.747136,57537.4382172
2035,143566.240696,131028.228005,57749.9190865
2036,143849.548522,131311.535831,58033.2269123
2037,144062.029391,131524.0167,58245.7077816
2038,144274.51026,131736.497569,58458.1886509
2039,144557.818086,132019.805395,58741.4964766
2040,144911.952868,132373.940177,59095.6312588
2041,145195.260694,132657.248003,59378.9390846
2042,145549.395476,133011.382785,59733.0738667
2043,145832.703302,133294.690611,60016.3816925
2044,146186.838084,133648.825393,60370.5164747
2045,146540.972866,134002.960175,60724.6512568
2046,146895.107648,134357.094957,61078.786039
2047,147249.242431,134711.22974,61432.9208212
2048,147603.377213,135065.364522,61787.0556034
2049,148028.338951,135490.32626,62212.017342
2050,148382.473734,135844.461043,62566.1521242
2051,148382.473734,135844.461043,62566.1521242
2052,148382.473734,135844.461043,62566.1521242
2053,148382.473734,135844.461043,62566.1521242
2054,148382.473734,135844.461043,62566.1521242
2055,148382.473734,135844.461043,62566.1521242
2056,148382.473734,135844.461043,62566.1521242
2057,148382.473734,135844.461043,62566.1521242
2058,148382.473734,135844.461043,62566.1521242
2059,148382.473734,135844.461043,62566.1521242
2060,148382.473734,135844.461043,62566.1521242
2061,148382.473734,135844.461043,62566.1521242
2062,148382.473734,135844.461043,62566.1521242
2063,148382.473734,135844.461043,62566.1521242
2064,148382.473734,135844.461043,62566.1521242
2065,148382.473734,135844.461043,62566.1521242
2066,148382.473734,135844.461043,62566.1521242
2067,148382.473734,135844.461043,62566.1521242
2068,148382.473734,135844.461043,62566.1521242
2069,148382.473734,135844.461043,62566.1521242
2070,148382.473734,135844.461043,
