year,annotation,Average Load
2003,,200.0
2004,,202.0
2005,,194.0
2006,,192.0
2007,,187.0
2008,,190.0
2009,,196.0
2010,,208.0
2011,,212.0
2012,,190.0
2013,,182.0
2014,start of forecast,199.0
2015,,200.0
2016,,200.0
2017,,200.0
2018,,201.0
2019,,201.0
2020,,201.0
2021,,201.0
2022,,201.0
2023,,202.0
2024,,202.0
2025,,202.0
2026,,202.0
2027,,202.0
2028,,203.0
2029,,203.0
2030,,203.0
2031,,203.0
2032,,203.0
2033,,203.0
2034,,204.0
2035,,204.0
2036,,205.0
2037,,205.0
2038,,205.0
2039,,206.0
2040,,206.0
