year,annotation,generation_biomass [kWh/year],generation_solar [kWh/year],generation_wind [kWh/year],generation_natural_gas [kWh/year],generation_hydro [kWh/year],generation_diesel [kWh/year]
2003,,0,0,0,0,0,2015239
2004,,0,0,0,0,0,2036059
2005,,0,0,0,0,0,1982338
2006,,0,0,0,0,0,1948064
2007,,0,0,0,0,0,1906912
2008,,0,0,0,0,0,1889757
2009,,0,0,0,0,0,1950138
2010,,0,0,0,0,0,2034398
2011,,0,0,0,0,0,2088673
2012,,0,0,0,0,0,1879404
2013,,0,0,0,0,0,1830393
2014,start of forecast,0,0,0,0,0,1979000
2015,,0,0,0,0,0,1982000
2016,,0,0,0,0,0,1986000
2017,,0,0,0,0,0,1989000
2018,,0,0,0,0,0,1992000
2019,,0,0,0,0,0,1993000
2020,,0,0,0,0,0,1995000
2021,,0,0,0,0,0,1997000
2022,,0,0,0,0,0,1999000
2023,,0,0,0,0,0,2001000
2024,,0,0,0,0,0,2002000
2025,,0,0,0,0,0,2004000
2026,,0,0,0,0,0,2006000
2027,,0,0,0,0,0,2008000
2028,,0,0,0,0,0,2010000
2029,,0,0,0,0,0,2010000
2030,,0,0,0,0,0,2011000
2031,,0,0,0,0,0,2012000
2032,,0,0,0,0,0,2016000
2033,,0,0,0,0,0,2020000
2034,,0,0,0,0,0,2024000
2035,,0,0,0,0,0,2027000
2036,,0,0,0,0,0,2031000
2037,,0,0,0,0,0,2034000
2038,,0,0,0,0,0,2037000
2039,,0,0,0,0,0,2041000
2040,,0,0,0,0,0,2046000
