year,Base case diesel consumed,Modeled biomass for heat (cordwood)
2017,150280.0,136109.329296
2018,150976.0,136805.329296
2019,151668.0,137497.329296
2020,151672.0,137501.329296
2021,152367.0,138196.329296
2022,153060.0,138889.329296
2023,153066.0,138895.329296
2024,153760.0,139589.329296
2025,154454.0,140283.329296
2026,154458.0,140287.329296
2027,155153.0,140982.329296
2028,155847.0,141676.329296
2029,155846.0,141675.329296
2030,155848.0,141677.329296
2031,156541.0,142370.329296
2032,157239.0,143068.329296
2033,157938.0,143767.329296
2034,159326.0,145155.329296
2035,160024.0,145853.329296
2036,160722.0,146551.329296
