year,Base case cost,"Chatham (chatham creek; 57.31', 134.57')",Thayer lake hydropower development (tlhd) generation -- thayer creek
2020,394226.380871,,1029022.23471
2021,413008.981448,1194166.04486,1020780.24528
2022,426165.088606,1190479.25542,1010409.92978
2023,436512.198672,1184580.8638,999168.982339
2024,445238.079705,1177536.68012,987460.833599
2025,454199.106233,1171081.32492,976357.733967
2026,466018.708723,1167603.40762,966923.951005
2027,476438.770554,1163176.51362,957218.641369
2028,485455.042108,1157788.48807,947229.287673
2029,496844.016703,1154868.30663,938398.56897
2030,502788.523157,1147270.85377,927552.909016
2031,515863.887585,1146544.70095,920282.714051
2032,528312.433448,1145604.57638,913474.267584
2033,542237.013083,1146319.7795,907672.585345
2034,556212.588127,1147371.6808,902220.704214
2035,565650.988342,1144505.21114,894849.190451
2036,579713.680542,1146195.70352,890061.192129
2037,587773.079915,1142602.04765,882649.171958
2038,603067.452888,1145936.88163,878867.654461
2039,614370.726865,1145874.16899,873686.170609
2040,630366.994977,1150412.46081,871131.113651
2041,631599.384018,1141561.53096,861817.742039
2042,633139.870321,1133255.02615,853059.633953
2043,634372.259363,1124871.21284,844234.801818
2044,635912.745665,1117020.8766,835953.783133
2045,637453.231968,1109390.63778,827902.955984
2046,638993.71827,1101975.33782,820076.925238
2047,640534.204573,1094769.93914,812470.42227
2048,642074.690875,1087769.52206,805078.301787
2049,643923.274438,1081277.37969,798203.636565
2050,645463.760741,1074672.62584,791225.325234
2051,645463.760741,1066718.28976,782906.186931
2052,645463.760741,1058950.38339,774782.028398
2053,645463.760741,1051364.5374,766848.279896
2054,645463.760741,1043956.48462,759100.478572
2055,645463.760741,1036722.05808,751534.266346
2056,645463.760741,1029657.18842,744145.387224
2057,645463.760741,1022757.90162,736929.684933
2058,645463.760741,1016020.31692,729883.10073
2059,645463.760741,1009440.64431,723001.670792
2060,645463.760741,1003015.18275,716281.524346
2061,645463.760741,996740.318004,709718.881387
2062,645463.760741,990612.520347,703310.050319
2063,645463.760741,984628.342964,697051.426247
2064,645463.760741,978784.419755,690939.488693
2065,645463.760741,973077.463547,684970.799729
2066,645463.760741,967504.263994,679142.001776
2067,645463.760741,962061.686408,673449.816381
2068,645463.760741,956746.66919,667891.041536
2069,645463.760741,951556.222742,662462.550532
2070,645463.760741,946487.427365,
