year,Base case cost,Modeled biomass for heat (pellet)
2017,359368.053201,390187.963131
2018,401795.934161,428009.029825
2019,462788.089828,482533.173749
2020,490101.25512,506660.864591
2021,512154.734757,526317.155455
2022,528259.531747,540656.963406
2023,538994.859686,549947.543609
2024,550664.258,560336.359204
2025,562416.936313,570816.548202
2026,574788.141606,581611.413137
2027,588235.171242,593645.69826
2028,600217.169556,604378.367007
2029,612680.998232,615288.472265
2030,618922.780879,620607.229391
2031,635763.597869,635752.653876
2032,651177.521475,649633.917733
2033,668286.726404,665061.28024
2034,688499.143031,683598.392243
2035,701116.866637,695014.827924
2036,718640.010243,710875.286402
