year,annotation,diesel generation efficiency
2002,,13.14
2003,,13.27
2004,,13.29
2005,,13.25
2006,,12.68
2007,,13.06
2008,,13.21
2009,,14.08
2010,,14.38
2011,,14.81
2012,,14.41
2013,,13.14
2014,start of forecast,14.12
2015,,14.12
2016,,14.12
2017,,14.12
2018,,14.12
2019,,14.12
2020,,14.12
2021,,14.12
2022,,14.12
2023,,14.12
2024,,14.12
2025,,14.12
2026,,14.12
2027,,14.12
2028,,14.12
2029,,14.12
2030,,14.12
2031,,14.12
2032,,14.12
2033,,14.12
2034,,14.12
2035,,14.12
2036,,14.12
2037,,14.12
2038,,14.12
2039,,14.12
2040,,14.12
