year,Base case diesel consumed,Modeled residential ashp
2017,163662.372027,-502636.918227
2018,162923.003759,-503376.286495
2019,162183.635491,-504115.654762
2020,161444.267224,-504855.02303
2021,160335.214822,-505964.075432
2022,159595.846555,-506703.443699
2023,158486.794153,-507812.496101
2024,157747.425886,-508551.864368
2025,157008.057618,-509291.232636
2026,155899.005216,-510400.285037
2027,155159.636949,-511139.653305
2028,154420.268681,-511879.021573
2029,154420.268681,-511879.021573
2030,154050.584547,-512248.705706
2031,153680.900414,-512618.38984
