year,Base case diesel consumed,False pass hydroelectric feasibility study and conceptual design
2021,50385.6815193,19329.9313151
2022,50385.6815193,19329.9313151
2023,50385.6815193,19329.9313151
2024,50385.6815193,19329.9313151
2025,50385.6815193,19329.9313151
2026,50385.6815193,19329.9313151
2027,50385.6815193,19329.9313151
2028,50385.6815193,19329.9313151
2029,50385.6815193,19329.9313151
2030,50385.6815193,19329.9313151
2031,50385.6815193,19329.9313151
2032,50385.6815193,19329.9313151
2033,50385.6815193,19329.9313151
2034,50385.6815193,19329.9313151
2035,50385.6815193,19329.9313151
2036,50385.6815193,19329.9313151
2037,50385.6815193,19329.9313151
2038,50385.6815193,19329.9313151
2039,50385.6815193,19329.9313151
2040,50385.6815193,19329.9313151
2041,50385.6815193,19329.9313151
2042,50385.6815193,19329.9313151
2043,50385.6815193,19329.9313151
2044,50385.6815193,19329.9313151
2045,50385.6815193,19329.9313151
2046,50385.6815193,19329.9313151
2047,50385.6815193,19329.9313151
2048,50385.6815193,19329.9313151
2049,50385.6815193,19329.9313151
2050,50385.6815193,19329.9313151
