year,Base case cost,False pass hydroelectric feasibility study and conceptual design
2021,152164.758188,327575.942111
2022,157203.32634,324711.018802
2023,160730.324047,321288.934942
2024,163753.464938,317758.352808
2025,166776.605829,314342.263166
2026,171311.317166,311715.197596
2027,174838.314872,308745.843927
2028,177861.455763,305657.381148
2029,181892.310285,303124.525537
2030,183907.737546,299790.406297
2031,188442.448882,297684.285044
2032,192977.160219,295675.142648
2033,197511.871556,293760.706062
2034,202046.582892,291938.755908
2035,205069.723784,289529.909368
2036,210108.291936,288112.217833
2037,212627.576012,285651.96934
2038,217666.144163,284404.528138
2039,221193.14187,282562.016296
2040,226735.566837,281702.676954
2041,226735.566837,278438.55518
2042,226735.566837,275250.936183
2043,226735.566837,272138.027176
2044,226735.566837,269098.076946
2045,226735.566837,266129.375605
2046,226735.566837,263230.253076
2047,226735.566837,260399.078841
2048,226735.566837,257634.260179
2049,226735.566837,254934.241913
2050,226735.566837,252297.505402
