year,Base case cost,Modeled solar power (pv)
2016,82632.5176917,88629.574217
2017,101779.076669,107372.298698
2018,115887.067494,121152.513981
2019,136041.340102,140904.073113
2020,145614.619591,150223.579694
2021,152164.758188,156565.242401
2022,157203.32634,161419.704853
2023,160730.324047,164786.39846
2024,163753.464938,167659.446175
2025,166776.605829,170536.00431
2026,171311.317166,174908.32995
2027,174838.314872,178289.328506
2028,177861.455763,181176.164013
2029,181892.310285,185061.403992
2030,183907.737546,186959.392863
2031,188442.448882,191348.738148
2032,192977.160219,195741.381303
2033,197511.871556,200137.25275
2034,202046.582892,204536.284438
2035,205069.723784,207444.733819
