year,Base case diesel consumed,Modeled diesel efficiency
2019,373386.911609,339442.646917
2020,366841.948389,333492.680354
2021,360296.985169,327542.71379
2022,354011.228414,321828.389467
2023,347919.876506,316290.796824
2024,341763.722982,310694.29362
2025,335801.974307,305274.522097
2026,329710.622399,299736.929454
2027,323424.865644,294022.605131
2028,317074.307272,288249.370247
2029,311630.971525,283300.883204
2030,306058.032546,278234.575042
2031,300096.28387,272814.803518
2032,293162.510954,266511.373595
2033,286163.936422,260149.033111
2034,279165.36189,253786.692627
2035,272296.39059,247542.173264
2036,265621.824138,241474.38558
2037,259141.662534,235583.329577
2038,252531.897699,229574.452453
