year,Base case cost,Modeled solar power (pv)
2016,846808.077895,908972.479489
2017,994078.17455,1053832.5923
2018,1090590.4614,1148686.75619
2019,1228442.93919,1284201.85425
2020,1276609.98039,1331413.81198
2021,1304275.08631,1358430.15094
2022,1316921.7697,1370669.73026
2023,1318616.33196,1372136.15103
2024,1315790.33348,1369143.60926
2025,1316343.73928,1369478.39346
2026,1318842.4896,1371707.73678
2027,1316339.20317,1368995.994
2028,1309516.88903,1362024.77432
2029,1311966.39012,1364220.48734
2030,1303807.21864,1355974.78772
2031,1302417.872,1354341.30475
2032,1298709.92353,1350341.53831
2033,1293460.99263,1344806.94416
2034,1286952.31831,1338018.68149
2035,1271624.14406,1322572.29863
