year,Base case diesel consumed,Modeled solar power (pv)
2016,393864.222277,387830.815885
2017,386800.846129,380815.706988
2018,379996.676445,374059.418418
2019,373386.911609,367497.151646
2020,366841.948389,360999.306506
2021,360296.985169,354501.084421
2022,354011.228414,348261.694871
2023,347919.876506,342216.339232
2024,341763.722982,336105.814007
2025,335801.974307,330189.328603
2026,329710.622399,324142.877861
2027,323424.865644,317901.663062
2028,317074.307272,311595.290311
2029,311630.971525,306195.786699
2030,306058.032546,300666.329199
2031,300096.28387,294747.71415
2032,293162.510954,287856.729792
2033,286163.936422,280900.601509
2034,279165.36189,273944.133656
2035,272296.39059,267116.932182
