year,Base case cost,Point hope wind turbine design,Modeled wind power
2017,994078.17455,978247.293302,
2018,1090590.4614,1040571.76412,
2019,1228442.93919,1130561.29949,1525684.9783
2020,1276609.98039,1157076.05721,1549398.18106
2021,1304275.08631,1168786.84899,1559044.66918
2022,1316921.7697,1170037.5937,1558820.91128
2023,1318616.33196,1163754.99888,1551506.16464
2024,1315790.33348,1154091.43721,1540957.90139
2025,1316343.73928,1146667.68593,1532501.99829
2026,1318842.4896,1140049.68531,1524704.39558
2027,1316339.20317,1129569.24181,1513191.80025
2028,1309516.88903,1115909.36447,1498647.22135
2029,1311966.39012,1109242.11462,1490800.3694
2030,1303807.21864,1095384.9738,1476205.97729
2031,1302417.872,1084878.87622,1464520.27761
2032,1298709.92353,1070914.58294,1449228.93198
2033,1293460.99263,1055409.30723,1432396.60393
2034,1286952.31831,1038644.28811,1414304.53246
2035,1271624.14406,1016478.55065,1391254.09343
2036,1264359.8829,998957.944686,1372406.43512
2037,1249062.81342,,1349387.10086
2038,1239931.6177,,1328672.50799
