year,Base case cost,Port frederick (unnamed stream) -- unnamed creek,Humpback creek (chichagof island),Steve kane creek,Shotter creek
2021,678039.961099,826030.518386,902606.288959,718301.305547,738782.881494
2022,701938.834347,849865.677305,923956.589071,741563.035511,762044.611457
2023,721893.603599,869769.475094,941872.499813,761008.090135,781489.666081
2024,737408.532026,885246.174924,955858.284359,776140.732592,796622.308538
2025,755425.978095,903219.020963,972091.729233,793712.178362,814193.754309
2026,777685.787407,925421.487379,992057.822722,815398.558718,835880.134664
2027,796190.798819,943881.898761,1008778.83294,833457.569831,853939.145777
2028,813120.075312,960772.946658,1024178.96555,850004.560354,870486.1363
2029,832952.272271,980547.800721,1041717.44669,869263.328357,889744.904303
2030,845534.999074,993098.670359,1053025.88692,881527.483518,902009.059464
2031,868874.125518,1016380.45391,1074071.29754,904293.181006,924774.756952
2032,895103.234241,1042552.21974,1098006.69044,929948.860774,950430.43672
2033,922731.029016,1070122.67162,1123340.76939,957003.226592,977484.802539
2034,953244.720326,1100572.6486,1151305.88757,986879.774619,1007361.35057
2035,974984.959308,1122274.65898,1171516.98267,1008237.72763,1028719.30358
2036,1005591.2608,1152817.24614,1199574.71102,1038206.88583,1058688.46178
2037,1027556.21565,1174743.9724,1220010.52199,1059789.55471,1080271.13066
2038,1059730.08057,1206854.12299,1249635.81377,1091326.27635,1111807.8523
2039,1088823.2952,1235896.36615,1276690.16989,1119909.77635,1140391.3523
2040,1126727.4148,1273730.39999,1311790.85905,1157113.03834,1177594.61429
2041,1139235.91727,1286238.90246,1324299.36152,1169621.54081,1190103.11676
2042,1152065.15057,1299068.13577,1337128.59482,1182450.77411,1202932.35006
2043,1165215.11471,1312218.0999,1350278.55895,1195600.73825,1216082.3142
2044,1179327.27134,1326330.25654,1364390.71559,1209712.89488,1230194.47083
2045,1193760.1588,1340763.144,1378823.60305,1224145.78235,1244627.35829
2046,1209475.9696,1356478.9548,1394539.41385,1239861.59314,1260343.16909
2047,1225833.24206,1372836.22726,1410896.68631,1256218.8656,1276700.44155
2048,1242831.97619,1389834.96138,1427895.42043,1273217.59973,1293699.17568
2049,1260151.44115,1407154.42634,1445214.88539,1290537.06469,1311018.64064
2050,1278433.0986,1425436.0838,1463496.54285,1308818.72214,1329300.29809
